Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.28092213994707E-06,0.00609777903606889,0.369397173959147,0,0,0,1.49976365072553,0.0135734997497357,5.31986838611652E-09,3.83639233149709E-09,0.0143864698123259,9.65408902167653E-06,0.00266061989858204,0,0,0,0,0,0,package://dual_arm_assembly/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/base_link.STL,,reachy_assembly.STEP-1/base.STEP-1;reachy_assembly.STEP-1/shoulder_pitch.STEP-1;reachy_assembly.STEP-1/单轴舵机-模型.STEP-1;reachy_assembly.STEP-1/舵盘.STEP-1;铝型材支架装配体.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirrorshoulder_pitch_Mirrorshoulder_pitch.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror单轴舵机-模型_Mirror单轴舵机-模型.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror舵盘_Mirror舵盘.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirrorbase_Mirrorbase.STEP-1,Coordinate System11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,0.0150351690806023,0.000481126948851307,-0.00308908066790092,0,0,0,0.0443846555671394,2.82901831353068E-05,-1.93747516749605E-08,2.40514073453628E-08,1.69848163810373E-05,4.02478008254976E-08,2.82933307799255E-05,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l1.STL,,reachy_assembly.STEP-1/shoulder_.STEP-1;reachy_assembly.STEP-1/舵盘.STEP-2,Coordinate System1,Axis1,j1,continuous,-0.1214,-0.000499999999997739,0.639,3.14159265358979,0,3.14159265358979,base_link,-1,0,0,,,,,,,,,,,,
l2,0.0238194662585542,0.000180375627347268,0.11339965650358,0,0,0,0.101996071074971,1.92726611828067E-05,-4.77804452287511E-09,-6.66378858956304E-09,2.04904333733432E-05,-7.36075425749679E-09,1.69946057477344E-05,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l2.STL,,reachy_assembly.STEP-1/双轴舵机-模型.step.STEP-2;reachy_assembly.STEP-1/双轴舵机-模型.step.STEP-1;reachy_assembly.STEP-1/舵机延长套.STEP-1;reachy_assembly.STEP-1/shoulder2arm_.STEP-1;reachy_assembly.STEP-1/舵盘.STEP-3,Coordinate System2,Axis2,j2,continuous,0.0398000000001219,0.0239999999999997,0,0,0,-1.5707963267949,l1,-1,0,0,,,,,,,,,,,,
l3,0.11067117364392,0.000322695181245138,-9.30593643301003E-05,0,0,0,0.206143258453069,0.000139538923515496,-3.32874306136751E-05,-5.23617371201476E-08,0.000639054947876115,1.1889768939737E-08,0.00067592678018217,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l3.STL,,reachy_assembly.STEP-1/单轴舵机-模型.STEP-2;reachy_assembly.STEP-1/upper_arm.STEP-1;reachy_assembly.STEP-1/双轴舵机-模型.step.STEP-2,Coordinate System3,Axis3,j3,continuous,0.0240000000013496,0,0.0552749999999217,1.5707963267949,-1.5707963267949,0,l2,-1,0,0,,,,,,,,,,,,
l4,0.0207986242136204,0.00693580145723212,-0.0585512260868263,0,0,0,0.112979486702308,0.000149384600150202,1.41921966097535E-08,9.737177125781E-09,0.00015118798492705,-1.97706838068614E-05,8.72959837563521E-05,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l4.STL,,reachy_assembly.STEP-1/forearm.STEP-1;reachy_assembly.STEP-1/单轴舵机-模型.STEP-3,Coordinate System4,Axis4,j4,continuous,0.227474999999993,0,-0.0208000000000002,3.14159265358979,-1.5707963267949,0,l3,-1,0,0,,,,,,,,,,,,
l5,-0.100680924757638,-0.000731071593629609,0.000257019106289585,0,0,0,0.10878374239052,5.89342421097784E-05,5.13689272337755E-06,5.61133557582862E-07,0.000156269558725434,-1.03625614787932E-08,0.000168920755477569,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l5.STL,,reachy_assembly.STEP-1/wrist.STEP-1;reachy_assembly.STEP-1/双轴舵机-模型.step.STEP-3,Coordinate System5,Axis5,j5,continuous,0.020800000000079,0,-0.0967999999999998,3.14159265358979,-1.5707963267949,0,l4,-1,0,0,,,,,,,,,,,,
l6,0.0150345852639948,0.000485057563577606,0.00308588240789975,0,0,0,0.0443864747181768,2.8289937513939E-05,-1.84052361065887E-08,-2.41587146321559E-08,1.69847157626588E-05,-4.56655847061822E-08,2.82928254639876E-05,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l6.STL,,Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirrorshoulder__Mirrorshoulder_.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror舵盘1_Mirror舵盘1.STEP-1,Coordinate System6,Axis6,j6,continuous,0.121399999999999,-0.000499999999993555,0.639,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
l7,0.0237176204856147,-7.69015637308579E-07,0.023503940680521,0,0,0,0.0652723782533449,1.33663348659795E-05,4.780867245139E-09,-6.78239467407023E-09,1.46565513046973E-05,-2.57206628794038E-10,1.46041849456996E-05,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l7.STL,,Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror舵机延长套_Mirror舵机延长套.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror双轴舵机-模型.step_Mirror双轴舵机-模型.step.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirrorshoulder2arm__Mirrorshoulder2arm_.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror舵盘2_Mirror舵盘2.STEP-1,Coordinate System7,Axis7,j7,continuous,0.0398000000001217,0.024,0,3.14159265358979,0,-1.57079632679489,l6,-1,0,0,,,,,,,,,,,,
l8,0.110672670254806,0.000321596154976521,9.23759636413113E-05,0,0,0,0.206147019794315,0.000139509765779231,-3.33046930978046E-05,7.93244177924978E-08,0.000639024953623014,6.25482197721214E-09,0.000675923860162885,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l8.STL,,Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirrorupper_arm_Mirrorupper_arm.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror单轴舵机-模型1_Mirror单轴舵机-模型1.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror双轴舵机-模型.step1_Mirror双轴舵机-模型.step1.STEP-1,Coordinate System8,Axis8,j8,continuous,0.0240000000013506,0,0.0552749999999217,1.57079632679489,-1.5707963267949,0,l7,-1,0,0,,,,,,,,,,,,
l9,0.0208000482942063,0.00692946029447224,0.0585579112235272,0,0,0,0.112956307628541,0.000149364092555231,-3.76977752280552E-09,1.46277425536877E-08,0.000151174319842513,1.97724068558359E-05,8.72700779780222E-05,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dual_arm_assembly/meshes/l9.STL,,Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirrorforearm_Mirrorforearm.STEP-1;Mirrorreachy_assembly_Mirrorreachy_assembly.STEP-1/Mirror单轴舵机-模型2_Mirror单轴舵机-模型2.STEP-1,Coordinate System9,Axis9,j9,continuous,0.227475,0,0.0207999999999979,0,1.5707963267949,0,l8,-1,0,0,,,,,,,,,,,,
